,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01870-2024,Kalinga Act Mt. View Resort,Kalinga,Tabuk,"Gawidan, Brgy. Bagumbayan. Tabuk City, Kalinga",639564736876,archieltayocnog@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00547-2022,Kenlibed Inn,Mountain Province,Sagada,"Dagdag, Sagada, Mountain Province",9506578763,cayzmhae@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00427-2021,Khotel Kurban Hotel,Benguet,Baguio,53 Naguilian Road baguio City,"09184916826, 09566290233",hotelurbanbaguio@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02404-2025,KMJ Condo Unit Rental,Benguet,Baguio,"Outlook Ridge Residences, #6 V. Delos Reyes Street, Outlook Drive, Baguio City",9209625816,kkapuno20@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02343-2025,Korphil transient house,Benguet,Baguio,"Upper Poblacion, Tuba, Benguet",9197255882,joydambiray0@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02291-2025,Kiber Transient House,Benguet,Baguio,87 Balacbac Central Santo Tomas Baguio City,9107020644,ursulajoanbaido@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02288-2025,Kidkid Abongan Transient House,Benguet,Baguio,"No. 17 John Philips Street, Scout Barrio",9186644859,kidkidoctavia@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02104-2024,Las Vegas Hotel and Restaurant,Kalinga,Tabuk,"Dagupan Weste, Tabuk City, Kalinga",9605795747,lasvegashotel.tabuk2024@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00801-2022,Kay-ang Hill Transient Inn,Ifugao,Lagawe,"Kay-ang, Cudong, Lagawe, Ifugao",9175288554,kayanghill351@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01237-2023,KGI Mountainside Hotel,Ifugao,Lagawe,"Motorpool, Poblacion west, Lagawe, Ifugao",9602092593,kgiHotel@gmail.com,31-Oct-26,,,
,,,,,,,9568310660,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00921-2022,Kim-Clarence Transient House,Benguet,Baguio,"#55 Asin Road, San Luis Village, Baguio City",09399361362 09175856381,senacatapang@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02278-2025,Kim's Transient House,Benguet,Baguio,"64 PUROK ONGASAN. BRGY. LOAKAN PROPER, BAGAUIO CITY",9684122939,daketangabrielyn@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02330-2025,King's Cabin Transient House,Benguet,Itogon,"Baguio Gold Tuding, Itogon, Benguet",9604777833,thekingscabin15@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00020-2020,La Brea Inn,Benguet,Baguio,"4F AYK Building, No. 24 Lower Session Road, Baguio City",9175087800,la_brea_inn@yahoo.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02386-2025,La Casa Bella -Bristle Ridge Condotel,Benguet,Baguio,"Unit 322, Southbelle, Bristle Ridge, Pacdal Road, Pacdal",9108320454,kiwalanjulie@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02448-2025,Layog Country Farm and Agriculture Services,Mountain Province,Tadian,"Angkido, Kayan West, Tadian, Mountain Province",9631523688,LayogCountryFarm2025@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02190-2024,Legends Apartelle,Benguet,Baguio,"Brgy. Fairview Village, Baguio City",9394312437,naragvioleta15@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02059-2024,Leo Hotel Baguio,Benguet,Baguio,"101 Sto. Tomas Rd., Ferdinand-Campo Sioco, Baguio City",(074) 446 4919,leohotelbaguio2022@gmail.com,31-Oct-26,,,,
,,,,,,,9602142265,,,,,,,,
,,,,,,,9673013126,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02047-2024,Lalouette Inn,Mountain Province,Sagada,"Antadao, Sagada, Mountain Province",9684499916,joelalwet0512@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00977-2022,Las Vegas Lodge and Restaurant,Ifugao,Banaue,"Bissang, Tam-am, Banaue, Ifugao",9261216348,lasvegaslr2021@gmail.com,31-Oct-26,,,
,,,,,,,9359636897,banauelasvegas@gmail.com,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02155-2024,Myrna Hotel,Mountain Province,Bontoc,"Kidlaa, Brgy. Samoki, Bontoc, Mt. Province",9399020892,myrnahotel@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00988-2022,Sanafe Lodge and Restaurant,Ifugao,Banaue,"Trade Center, Brgy. Poblacion, Banaue, Ifugao",9399390128,sanafelr22@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00161-2021,Lenwil Real Estate Leasing,Benguet,Baguio,"#108 New Lucban Ext., Purok 5, Baguio City",9088843700,lenwilbaguio@gmail.com,31-Oct-26,,,,
,,,,,,,9209616469,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00488-2021,Ligaya's House and Cottages,Mountain Province,Sagada,"Patay, Sagada, Mountain Province",9771981703,sudantambiac082816@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00473-2021,Lindi Hotel,Benguet,Baguio,"12 Legarda Road, Baguio City",9178137189,lindiHotel@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01571-2024,Ling-ay Balagtey Real Estate Leasing,Benguet,Baguio,28 Balagtey Apartment Upper Padre Burgos,9982417999,lingaybalagtey@gmail.com,31-Oct-26,,,,,,
,,,(Ling-ay Balagtey Transient),,,,,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02398-2025,Lourdes Apartment,Benguet,Baguio,"50 Queen of Apostle, Lourdes Proper, Baguio City",9303663869,lourdesapartment2025@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01867-2024,LMD Condotel,Benguet,Baguio,Megatower Residences II 4F3 Tecson St. Salud Mitra,9178004531,livdacia@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01925-2024,Lodge Labanet,Mountain Province,Sagada,"Patay, Sagada, Mountain Province",9209483133,taulidora@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00569-2022,Log-In Homestay,Mountain Province,Sagada,"Nangonogan, Patay, Sagada, Mountain Province",9158671213,marylucille.buyagan@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02270-2025,LSB 1BR Staycation Apartelle,Benguet,Baguio,"Unit 618-B, Moldex Residences, Marcos Highway Cor. Crystal Cave, Bakakeng Central",9773996685,buenaventuraleticia2025@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02174-2024,Ming-ayen Lodge,Mountain Province,Sagada,"South Road, Daoangan, Brgy. Dagdag, SAgada, Mt. Province",9653699632,jamesmadongit@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00849-2022,Residential Lodge,Mountain Province,Sagada,"Daoangan, Brgy. Dagdag, SAgada, Mt. Province",9176790060,baids.daoas@gmail.com,31-Oct-26,,,
,,,,,,,9752583709,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02017-2024,Lucky's Hotel & Restaurant,Abra,Bangued,"Rizal St., Zone 5, Bangued, Abra",9175994643,vinluanedwardmarvan@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00740-2022,Lucky Star Hotel-Lodge,Ifugao,Kiangan,"Ulo, Lamut-Kiangan Road, Brgy. Hucab, Kiangan, Ifugao",9602453162,rosemarieali60@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00349-2021,Luningning's Apartment,Benguet,Baguio,"233b benin Rd., Pinsao Proper",9209669705,baguio.garudalodge@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00050-2020,Lyn's Baguio Transient Homes,Benguet,Baguio,"#79-B City Camp Alley, Baguio City",09228313352/ 09158133144,lynstransient@yahoo.com,31-Oct-26,,,,,
,,,,,,,,sigammad@yahoo.com,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00110-2020,MBI Apartments,Benguet,Baguio,"#80 Leonor Rivera St. , Baguio City",9212893019,mat.imayaho@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00456-2021,Macojet Real Estate Leasing,Benguet,Baguio,"16 Martinez street, Engineers Hil, Baguio City",9088753090,macojet16@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00061-2020,Mark's Travellers View Deck Inn,Benguet,Buguias,"#186-PA, Abatan, Halsema Highway, Bugias, Benguet",09285053007 09466125105,mtvdi.99@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CARMAB-01838-2024,M and M 3302 Condominium Unit Rental,Benguet,Baguio,"3302 Europa Condo Legarda Road, Brgy. Ferdinand, Baguio City",9174675575,mylan828@yahoo.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00581-2022,Mantel Pension House Rental,Benguet,Baguio,"30 Quirino-Magsaysay, Upper QM, Baguio City","""09167581105",domondonvictoria@gmail.com,31-Oct-26,,,,
,,,,,,,"09212386936""",,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00095-2020,M.E. Chiang Transient House,Benguet,Baguio,"#133A/B Montebello Road 2, Bakakeng Norte Sur, Baguio City",9270740240,marymark2@yahoo.com.sg,31-Oct-26,,,,
,,,,,,,9569668143,,,,,,,,
,,,,,,,9982353175,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01579-2024,MaryAnn Condominium unit rental,Benguet,Baguio,"Trancoville, b\Baguio City",9466443085,janics.verona23@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00359-2021,Marj Top View Transient House,Benguet,Baguio,168 Doclas Cario Village Tiptop,9287177819,marjoriecgaiwen13@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01886-2024,Masika Apartelle,Benguet,Baguio,"115 Brgy. Santa Escolastica, Baguio City",9478300015,timpaclucena@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01887-2024,Masika 2 Apartell,Benguet,Baguio,"116 Brgy. Santa Escolastica, Baguio City",9082906983,altheatimpac@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02286-2025,Masferré Country Inn,Mountain Province,Sagada,"Poblacion (Patay), Sagada, Mountain Province",9214550916,bizmasferre@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00118-2021,Maryknoll Ecological Sanctuary,Benguet,Baguio,"#25 North Sto. Tomas Road, Campo Sioco, Imelda R. Marcos (La Salle), baguio City",9637903707,mesbaguio@gmail.com,31-Oct-26,,,
,,,,,,,(074) 424 5745,,,,,,,,
,,,,,,,9569174894,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01850-2024,Matityahu HG Apartment,Benguet,Baguio,"44 Brgy Holyghost Extension, Baguio City",9453108710,cadegnay@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02491-2025,Mayoyao View Inn,Ifugao,Mayoyao,"Poblacion, Mayoyao, Ifugao",9277732551,Mayoyaoviewinn2025@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01607-2024,Meek's Transient House,Benguet,Baguio,"Blk 2 Lot 3 Wagner Road, Wagner Hills Subdivision",9173003576,ren.ken38@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02359-2025,Melroye Baguio Guest House,Benguet,Baguio,"61-A Middle Atok Trail, Benguet",9175223212,rudenciogenove5@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00854-2022,Metro Pines Inn,Benguet,Baguio,"#20 Otek St., Baguio City",(074) 424-7722 09175588099,metropinesinn@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00864-2022,Micasa Micama Biak Na Bato / P&F' Estacion,Benguet,Baguio,"069-B Purok 27 Upper San Carlos Heights, BRgy. Irisan, Baguio City",9369398394,micasamicamabiaknabato@yahoo.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01754-2024,Mika's Apartment,Benguet,Baguio,"No. 426 Purok 4, Hillside",9661783319,marivicabarra1965@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00947-2022,Mila's Transient House,Benguet,Baguio,"#285 Elizabeth Court, Suello Village, Bakakeng Central, Baguio City",9173239832,velascomila455@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01243-2023,Mirador Jesuit Villa Retreat House,Benguet,Baguio,"Lourdes Grotto, Dominican Mirador, Baguio City",(074)-300-4789,miradorjesuitvilla@gmail.com,31-Oct-26,,,,
,,,,,,,9065701634,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00694-2022,Mirador Transient House,Benguet,Baguio,"6 Saint Theresa Street, Mirador Hill, Baguio City",9303441505,miradortransienthouse@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01550-2024,Mira-dor's Homestay,Benguet,Baguio,"No.9 Saint Anthony, Dominican-Mirador, Baguio City",9054945592,hotel.mirador9@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01606-2024,Misty Hills Transient,Benguet,Baguio,"#7 Purok 9, Tacay road, Pinsao proper, Baguio City",0917 519 7627,zoa.asdoffice@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00916-2022,MNK Apartment / MNK Transient House,Benguet,Baguio,"035 Amsing, Pacdal, Baguio City",0908 248 4683,mnk.apartmenttransienthouse@gmail.com,31-Oct-26,,,,
,,,,,,,(074) 665 3207,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00032-2020,Mountain Lodge and Restaurant,Benguet,Baguio,"#27 Leonard Wood Road, Baguio City",(074) 442-4544,mountain_lodge@yahoo.com,31-Oct-26,,,,,
,,,,,,,(074) 442-6175,,,,,,,,
,,,,,,,9209520830,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02433-2025,Mount Sanctuary Transient House,Benguet,Baguio,"#63B Purok 2, Irisan, Baguio City",9273798005,msunctuary@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02261-2025,M.S. Ali Transient House,Benguet,Baguio,Purok 1 Pinsao Proper Baguio City Benguet,9272517841,alimarites43@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01006-2022,Nardi-Mar Transient House,Benguet,Baguio,"160 Queen of Peace Road, Lourdes Proper",9228361846,mdnarcelles18@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02299-2025,Native Village Inn,Ifugao,Banaue,"Ohayj, Banaue, Ifugao",09156147778 09194669856,nativevillageinn2025@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01006-2022,New Rajah Soliman Hotel & Restaurant,Benguet,Baguio,"#44 Bokawkan Road, Baguio City",(074) 442-7574,newrajahsolimanHotel2015@yahoo.com.ph,31-Oct-26,,,,,
,,,,,,,9283800935,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02384-2025,Nexdor Transient House,Benguet,Baguio,"18 Martinez Street, Engineers' Hill, Baguio City",9062398507,arevina@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02260-2025,Nikko James Transient House,Benguet,Baguio,"64 Purok 3 Middle Rock Quarry Baguio City, Benguet",9301743714,pemadomondon19@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01291-2024,Nineu Lodge and Bistro,Mountain Province,"Tadian,","Poblacion, Tadian, Mt. Province",639082267766,zankartobe@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01111-2023,Oak and Stone Bed and Breakfast,Benguet,Baguio,"#3 Brent Road, General Luna, Baguio City",(074) 309 5538,oakandstone@extremelyxpresso.com,31-Oct-26,,,,
,,,,,,,9175237642,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01651-2024,OEC Condominium Unit Rental,Benguet,Baguio,4 Bukaneg Street corner Legarda Rd.,9199548958,ofeliacatbagan89@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00044-2020,Old Orange Wood Bed and Breakfast,Benguet,Baguio,"#20 F. Gomez St., Lower P. Burgos, Baguio City",09778011503/ (074) 4425060,theoldorangewood@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00012-2020,Ozark Bed Breakfast Hotel,Benguet,Baguio,"#06 Bareng Drive, Bakakeng Norte Sur, Baguio City",9082180690,soteloalbert@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01807-2024,PAP Condo Unit Rental,Benguet,Baguio,"B208 Moldex Residences, Brgy. bakakeng Central, Baguio City",9663606094,tinstransient@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00489-2021,Paladin Hotel,Benguet,Baguio,136 Abanao Extension Corner Carino St. Baguio City,074-442-2644,paladin_hotel@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00023-2020,Peak Point Apartments,Benguet,Baguio,"#61 Nevada Rd., Campo Sioco, Sto. Rosario Valley, Baguio City",09163439271 / 09105205035,peakpointbaguio@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00018-2020,Peredo's Lodging House,Benguet,Baguio,"#5 Cm Recto Street, Baguio City",(074) 442-5091 09229420698 09264055115,peredoslodginghouse@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00934-2022,Pine Breeze Cottages (Pine Brreze Realty Corporation),Benguet,Baguio,"#40 Bokawkan Rd., Baguio City",9173981120,pinebreezecottages@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02400-2025,Pinescottages Transient House,Benguet,Baguio,"10A, Baltazar Street, Purok 6, Gibraltar, Baguio City",9274708517,gerardmelecio28@gmail.com,31-Oct-25,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00147-2026,Pine Home Transient House,Benguet,Baguio,08 simsim compound tiptop pacdal road,9273996985,pinehome21@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01991-2024,Pines Ville Rentals,Benguet,Baguio,"#481-A Maria Pucay Rd., Baguio City",0951 599 5926,michelloredannug_19@yahoo.com kelaguila@yahoo.com,31-Oct-26,,,,,
,,,,,,,(074) 619 1614,,,,,,,,
,,,,,,,6590122263,,,,,,,,
,,,,,,,6596483894,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02432-2025,Pink Banaue Hostel,Ifugao,Banaue,"Tam-an, Banaue, Ifugao",9278549128,banauepinkhostel@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01596-2024,Prestige Vacation Apartments,Benguet,Baguio,"F302 Hanbi Mansions, Gibraltar Rd, Lualhati Brgy, Baguio City",9484188487,pvahanbif302@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01580-2024,Prestige Vacation Apartments,Benguet,Baguio,"203B Bonbel Condominium,1 Navy Base Extension Rd, St Joseph Village Brgy, Baguio City",9484188487,pvabonbel303@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01582-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 1-50 Suntrust 88 Gibraltar, Mines View, Baguio City",9484188487,pvasuntrust5O@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01583-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 1-4L Suntrust 88 Gibraltar, Mines View, Baguio City",9484188487,pvasuntrust4L@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01584-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 1-30 Suntrust 88 Gibraltar, Mines View, Baguio City",9484188487,pvasuntrust3O@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01585-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 1-2L Suntrust 88 Gibraltar, Mines View, Baguio City",9484188487,pvasuntrust2L@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01586-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 1-3L Suntrust 88 Gibraltar, Mines View, Baguio City",9484188487,pvasuntrust3L@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01587-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 1-2A Suntrust 88, Gibraltar Rd, Baguio City",9484188487,pvasuntrust2A@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01554-2024,Prestige Vacation Apartments,Benguet,Baguio,"B302 Hanbi Mansions, Gibraltar Rd, Lualhati, Baguio City",9484188487,emeldanicer@yahoo.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01575-2024,Prestige Vacation Apartments,Benguet,Baguio,"1 Navy Base Extention Rd, Bonbel Condominium",9484188487,pvabonbel601@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01576-2024,Prestige Vacation Apartments,Benguet,Baguio,"403A Bonbel Condominium,1 Navy Base Extension Rd,",9484188487,pvabonbel403@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01577-2024,Prestige Vacation Apartments,Benguet,Baguio,"Unit 202B Bonbel Condominium, 1 Navy Base Extension Rd.",9484188487,pvabonbel302@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01578-2024,Prestige Vacation Apartments,Benguet,Baguio,"103B Bonbel Condominium,1 Navy Base Extension Rd, St Joseph Village Brgy, Baguio City",9484188487,pvabonbel302@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02272-2025,Prince Cezarr Commercial Space Rental,Benguet,Baguio,620 Purok 10 Dontogan Baguio City Benguet,9124003037,liclicanedwin04@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02408-2025,Quarrybay Hometel,Mountain Province,Sagada,"Quarrybay Hometel, Brgy. Poblacion (Patay), Sagada, Mt. Province",9300372066,quarrybaysagada@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02392-2025,QFandZ Homestay,Benguet,Baguio,"UNIT Unit 05F-0029, Brent Hill Vista Residences, Yangco Road, Upper General Luna",9670081330,qfandzbaguiohomestay@gmail.com,31-Oct-25,,,
,,,,,,,9670081329,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01875-2024,QTM Condotels,Benguet,Baguio,Megatower Residences I IB17 Sandico St. Salud Mitra,9178004531,qtmogd@gmail.com,31-Oct-25,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01866-2024,QTM Condotels,Benguet,Baguio,Megatower Residences II 4F2 Tecson St. Salud Mitra,9178004531,qtmcondotels@gmail.com,31-Oct-25,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01880-2024,QTM Condotels,Benguet,Baguio,Megatower Residences II 4F18Tecson St. Salud Mitra,9178004531,qolivedacia@gmail.com,31-Oct-25,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01898-2024,Anne and Ramoncito Transient House,Benguet,Baguio,"70 tiptop ambuklao rd., Pacdal, Baguio City",9122489549,deomarrillera3@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02232-2024,R and RMI Condotel,Benguet,Baguio,"1B-26 Megatower Residences I, Sandico St.,Salud Mitra Brgy.,Baguio City",9762927903,randrmicondotel@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01714-2024,Red Star Hotel,Kalinga,Tabuk,"Provincial Road, Purok 7, Brgy Bulanao, Tabuk City, kalinga",9157411352,hotelredstar22@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02142-2024,Rest Terraces Transient House,Benguet,Baguio City,"110 Road 2, Quezon Hill, Baguio City",9629592621,dawndee39@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-0164-2024,Reown Guest House,Benguet,Baguio City,80 Queen of Angels st. Lourdes Subdivision Proper,9993115354,jocelynyaban18@gmail.com,31-Oct-25,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01555-2024,RHODORA Homestay (CASA 223),Benguet,Baguio,"223 Upper Session Road, DPS",9275175041,rhodoraolea1950@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01090-2023,Riaranz Apartment,Benguet,Baguio,"21 Middle San Carlos Heights, Baguio City",9676844672,iyah.cruz09@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01601-2024,Ricocion Haus,Benguet,Baguio,"#27 Regidor St., Pacdal, Baguio City",09173045401/ (074) 661-7002,aremcoloma@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00357-2021,Ridge Loft Inn,Benguet,Baguio,"68 North Santo Thomas rd., Baguio City",0935 891 8860,ridgeloftinn@gmail.com,31-Oct-27,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02134-2024,Ridgewood Hotel,Benguet,Baguio,"#17 Julian Felipe Street Barangay Lualhati, Baguio City",0917-680-6016,ridgewoodbaguio@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00562-2022,Ridgeview Transient House,Benguet,Baguio,"233 - A, PUROK 4, BENNIN ROAD, BAGUIO CITY",9678394964,ridgeviewboardinghouse@gmail.com,31-Oct-26,,,
